run	time	zone	target.n.fires	n.fires	target.area	burnt.area	fire.cycle	ind.combust
1	5	ZB	14	14	3740	2896	311	0.46
1	5	ZD	5	5	44	52	4755	0.22
1	5	ZC	15	15	1312	1304	531	0.47
1	5	ZA	13	13	5728	5500	122	0.51
1	10	ZD	5	5	204	204	1212	0.23
1	10	ZC	15	15	1816	1816	381	0.46
1	10	ZA	13	13	2236	2236	301	0.5
1	10	ZB	14	14	5476	5476	165	0.45
1	15	ZB	14	14	5284	4256	212	0.44
1	15	ZD	5	5	184	184	1344	0.23
1	15	ZC	15	15	1448	1448	478	0.46
1	15	ZA	14	14	9188	9188	73	0.5
