run	time	UA	SProd_ha	S_CC_ha_an	S_PC_ha_an	vol
1	15	111	321200	3440	1520	396560
1	15	11161	496800	6080	1280	434440
1	15	11262	330400	4240	720	414400
1	15	11263	315200	4320	560	239600
1	15	1171	306800	1840	1920	305240
1	15	121	467200	3120	2560	475160
1	15	122	486800	4000	2320	504040
1	15	1272	620400	6400	1680	467360
1	15	141	202800	1200	1680	272200
1	15	151	463200	2080	5040	615880
1	15	161	337600	2080	2720	465680
1	15	171	354400	3440	1600	520000
1	15	21	156000	1440	480	205680
1	15	22	175200	640	400	103320
1	15	2371	1177200	12320	1760	702520
1	15	2471	1479600	15600	1600	1460520
1	15	2571	2405600	27280	3200	2847560
1	15	2651	162800	1760	160	190440
1	15	2661	388000	2560	320	255760
1	15	2662	212000	2080	160	233120
1	15	2663	142000	1840	160	204560
1	15	2664	374000	3120	320	339960
1	15	2665	296000	1920	240	225560
1	15	2666	189600	1280	160	145200
1	15	2751	970000	10000	1200	912640
1	15	3153	114400	1360	160	69160
1	15	3171	224800	2160	1040	247400
1	15	3351	300800	3760	720	358400
1	15	3451	13600	80	80	5560
1	15	3551	111600	640	480	69600
1	15	41	225200	640	1760	198960
1	15	4151	444800	4320	3040	589840
1	15	4251	841600	8560	2960	1129000
1	15	4351	918000	10240	1200	1174840
1	15	4352	592000	6160	2560	961560
1	15	51	724400	5040	5280	804880
1	15	5151	36800	240	320	33360
1	15	6151	54800	240	720	55280
1	15	6271	430400	4400	3040	579040
1	15	6452	130000	480	1920	188720
1	15	6471	956400	6000	8080	1227960
1	15	71	511600	3120	4640	676960
1	15	7151	232400	1040	2560	300240
1	15	7152	474400	3120	4080	678200
1	15	7251	116400	400	1680	149560
1	15	7351	360400	1840	4000	499440
1	15	7352	318800	3280	1840	567640
1	15	7451	751200	7040	3360	1073960
1	15	81	106000	1120	320	177200
1	15	8151	301600	1840	3360	467040
1	15	8152	562400	5200	3280	880240
1	15	82	459200	0	480	25120
1	15	8251	460000	4240	800	516240
1	15	8351	877200	9280	2480	1259880
1	15	8451	615200	6560	720	675360
1	15	8462	210800	2080	160	211000
1	15	8551	634000	4720	480	NA
1	15	8562	40400	560	80	57760
1	15	8651	333200	0	320	12040
1	15	8652	269200	1920	400	232160
1	15	8663	184000	2080	240	234400
1	15	8664	176400	1920	320	203200
1	15	8665	234000	2560	320	285960
1	15	8666	330000	2160	320	255000
1	15	8751	378000	2080	400	230320
1	15	8762	329600	2240	400	261000
1	15	8763	306400	1200	160	124040
1	15	8764	381600	2400	240	271120
1	15	91	241200	2960	480	227200
1	15	9351	1529200	16480	1600	1482080
