run	time	BCDomain	Spp	poor	med	good
1	45	D6	EPN	165548	42960	480
1	45	D1	PET	5684	69620	6436
1	45	D3	PET	280	38404	173296
1	45	D6	PET	416	916	207656
1	45	D1	BOJ	81332	408	0
1	45	D3	BOJ	107612	91516	12852
1	45	D6	BOJ	9292	86432	113264
1	45	D1	ERS	284	32992	48464
1	45	D3	ERS	444	5824	205712
1	45	D6	ERS	34144	57176	117668
1	45	D1	other	284	0	81456
1	45	D3	other	280	6332	205368
1	45	D6	other	488	100484	108016
1	50	D1	SAB	81540	200	0
1	50	D3	SAB	127572	80936	3472
1	50	D6	SAB	2948	172568	33472
1	50	D1	EPN	81740	0	0
1	50	D3	EPN	211972	8	0
1	50	D6	EPN	188800	20188	0
1	50	D1	PET	11120	69444	1176
1	50	D3	PET	288	84608	127084
1	50	D6	PET	84	472	208432
1	50	D1	BOJ	81668	72	0
1	50	D3	BOJ	151140	56288	4552
1	50	D6	BOJ	12568	121396	75024
1	50	D1	ERS	284	47608	33848
1	50	D3	ERS	280	6516	205184
1	50	D6	ERS	14308	41848	152832
1	50	D1	other	284	0	81456
1	50	D3	other	280	1508	210192
1	50	D6	other	96	60768	148124
1	55	D1	SAB	81648	92	0
1	55	D3	SAB	133536	76136	2308
1	55	D6	SAB	3132	184888	20968
1	55	D1	EPN	81740	0	0
1	55	D3	EPN	211976	4	0
1	55	D6	EPN	191116	17804	68
1	55	D1	PET	14252	66980	508
1	55	D3	PET	300	94344	117336
1	55	D6	PET	60	464	208464
1	55	D1	BOJ	81704	36	0
1	55	D3	BOJ	157572	51380	3028
1	55	D6	BOJ	12472	117656	78860
1	55	D1	ERS	284	53584	27872
1	55	D3	ERS	280	7892	203808
1	55	D6	ERS	12692	40240	156056
1	55	D1	other	284	0	81456
1	55	D3	other	280	876	210824
1	55	D6	other	80	57552	151356
1	60	D1	SAB	81740	0	0
1	60	D3	SAB	189644	22092	244
1	60	D6	SAB	40160	166916	1912
1	60	D1	EPN	81740	0	0
1	60	D3	EPN	211980	0	0
1	60	D6	EPN	201876	7112	0
1	60	D1	PET	31688	50000	52
1	60	D3	PET	696	149944	61340
1	60	D6	PET	56	7272	201660
1	60	D1	BOJ	81740	0	0
1	60	D3	BOJ	199560	11976	444
1	60	D6	BOJ	69632	91276	48080
1	60	D1	ERS	284	73964	7492
1	60	D3	ERS	280	26188	185512
1	60	D6	ERS	4760	24404	179824
1	60	D1	other	284	0	81456
1	60	D3	other	280	60	211640
1	60	D6	other	56	33224	175708
1	65	D1	SAB	81740	0	0
1	65	D3	SAB	204740	7232	8
1	65	D6	SAB	94052	108232	6704
1	65	D1	EPN	81740	0	0
1	65	D3	EPN	211980	0	0
1	65	D6	EPN	207512	1476	0
1	65	D1	PET	40076	41652	12
1	65	D3	PET	4000	189272	18708
1	65	D6	PET	56	47640	161292
1	65	D1	BOJ	81740	0	0
1	65	D3	BOJ	208020	3952	8
1	65	D6	BOJ	123216	66764	19008
1	65	D1	ERS	284	78848	2608
1	65	D3	ERS	280	65104	146596
1	65	D6	ERS	1004	6720	201264
1	65	D1	other	284	0	81456
1	65	D3	other	280	0	211700
1	65	D6	other	56	9484	199448
1	70	D1	SAB	81740	0	0
1	70	D3	SAB	210540	1440	0
1	70	D6	SAB	150228	58312	448
1	70	D1	EPN	81740	0	0
1	70	D3	EPN	211980	0	0
1	70	D6	EPN	208828	160	0
1	70	D1	PET	65448	16292	0
1	70	D3	PET	17820	188872	5288
1	70	D6	PET	56	122884	86048
1	70	D1	BOJ	81740	0	0
1	70	D3	BOJ	211440	540	0
1	70	D6	BOJ	164312	39648	5028
1	70	D1	ERS	284	81292	164
1	70	D3	ERS	280	132652	79048
1	70	D6	ERS	108	5192	203688
1	70	D1	other	284	0	81456
1	70	D3	other	280	0	211700
1	70	D6	other	56	2184	206748
1	75	D1	SAB	81740	0	0
1	75	D3	SAB	208428	3552	0
1	75	D6	SAB	136776	71284	928
1	75	D1	EPN	81740	0	0
1	75	D3	EPN	211980	0	0
1	75	D6	EPN	208480	508	0
1	75	D1	PET	53412	28328	0
1	75	D3	PET	8828	194420	8732
1	75	D6	PET	56	100476	108456
1	75	D1	BOJ	81740	0	0
1	75	D3	BOJ	210408	1572	0
1	75	D6	BOJ	151400	49100	8488
1	75	D1	ERS	284	80900	556
1	75	D3	ERS	280	108764	102936
1	75	D6	ERS	268	3688	205032
1	75	D1	other	284	0	81456
1	75	D3	other	280	0	211700
1	75	D6	other	56	3652	205280
1	80	D1	SAB	81740	0	0
1	80	D3	SAB	211896	84	0
1	80	D6	SAB	186568	21944	476
1	80	D1	EPN	81740	0	0
1	80	D3	EPN	211980	0	0
1	80	D6	EPN	208988	0	0
1	80	D1	PET	76404	5336	0
1	80	D3	PET	50952	160204	824
1	80	D6	PET	108	164440	44440
1	80	D1	BOJ	81740	0	0
1	80	D3	BOJ	211972	8	0
1	80	D6	BOJ	195996	12116	876
1	80	D1	ERS	284	81416	40
1	80	D3	ERS	280	190136	21564
1	80	D6	ERS	56	49620	159312
1	80	D1	other	284	0	81456
1	80	D3	other	280	0	211700
1	80	D6	other	56	220	208712
1	85	D1	SAB	81740	0	0
1	85	D3	SAB	211976	4	0
1	85	D6	SAB	188952	20036	0
1	85	D1	EPN	81740	0	0
1	85	D3	EPN	211980	0	0
1	85	D6	EPN	208988	0	0
1	85	D1	PET	81024	716	0
1	85	D3	PET	86136	125704	140
1	85	D6	PET	156	169064	39768
1	85	D1	BOJ	81740	0	0
1	85	D3	BOJ	211980	0	0
1	85	D6	BOJ	196940	11184	864
1	85	D1	ERS	284	81456	0
1	85	D3	ERS	280	200476	11224
1	85	D6	ERS	56	75204	133728
1	85	D1	other	284	0	81456
1	85	D3	other	280	0	211700
1	85	D6	other	56	220	208712
1	90	D1	SAB	81740	0	0
1	90	D3	SAB	211980	0	0
1	90	D6	SAB	205564	3424	0
1	90	D1	EPN	81740	0	0
1	90	D3	EPN	211980	0	0
1	90	D6	EPN	208988	0	0
1	90	D1	PET	81720	20	0
1	90	D3	PET	179896	32084	0
1	90	D6	PET	22164	177112	9712
1	90	D1	BOJ	81740	0	0
1	90	D3	BOJ	211980	0	0
1	90	D6	BOJ	207116	1872	0
1	90	D1	ERS	1184	80556	0
1	90	D3	ERS	280	210276	1424
1	90	D6	ERS	56	143404	65528
1	90	D1	other	284	0	81456
1	90	D3	other	280	0	211700
1	90	D6	other	56	0	208932
