run	time	domain	spp	0-20	20-40	40-60	60-80	80-100	>100	Tot
1	20	2	SAB	5148	7048	9092	5868	5944	5412	38512
1	20	1	BOJ	16	0	8	8	0	8	40
1	20	1	EPN	19928	23916	13884	3080	7788	42256	110852
1	20	1	ERS	0	0	0	0	0	0	0
1	20	1	NonFor	2452	30712	9188	0	0	132	42484
1	20	1	other	3340	5392	2416	876	1648	2196	15868
1	20	1	PET	14700	672	756	160	308	372	16968
1	20	1	SAB	3956	3348	3252	1232	1216	9772	22776
1	25	3	BOJ	200	396	248	268	868	3456	5436
1	25	3	EPN	80	192	248	200	204	224	1148
1	25	3	ERS	1216	1620	1968	1452	7240	12360	25856
1	25	3	NonFor	56	4296	2940	0	0	0	7292
1	25	3	other	4140	3800	3836	2448	4648	4632	23504
1	25	3	PET	3360	1884	1928	612	2204	760	10748
1	25	3	SAB	724	944	1732	1780	1688	888	7756
1	25	2	BOJ	1456	1048	1152	1240	1412	5588	11896
1	25	2	EPN	7472	8800	9720	5384	3904	7168	42448
1	25	2	ERS	1488	740	888	972	2004	3592	9684
1	25	2	NonFor	1040	9956	6812	32	0	0	17840
1	25	2	other	10228	11308	11664	6832	7968	7544	55544
1	25	2	PET	19088	6944	4660	1624	3284	1084	36684
1	25	2	SAB	5152	6492	8860	6096	5156	6128	37884
1	25	1	BOJ	24	4	12	16	0	12	68
1	25	1	EPN	18636	21940	17496	4100	5364	39720	107256
1	25	1	ERS	0	0	0	0	0	0	0
1	25	1	NonFor	2564	23392	16184	220	0	124	42484
1	25	1	other	3360	4540	3324	1100	1316	2472	16112
1	25	1	PET	14708	3304	784	192	244	440	19672
1	25	1	SAB	3860	3416	3752	1376	1028	9964	23396
1	30	3	BOJ	184	364	280	296	616	3028	4768
1	30	3	EPN	112	140	284	132	160	256	1084
1	30	3	ERS	1328	1520	2024	1808	5384	14172	26236
1	30	3	NonFor	100	2860	4332	0	0	0	7292
1	30	3	other	4260	3944	3952	2508	3492	5464	23620
1	30	3	PET	3616	2408	1784	688	1812	1100	11408
1	30	3	SAB	720	852	1492	1660	1376	1232	7332
1	30	2	BOJ	1500	1168	1092	1616	1124	4892	11392
1	30	2	EPN	5668	8668	10036	5788	3200	7032	40392
1	30	2	ERS	1700	980	948	1284	1808	4148	10868
1	30	2	NonFor	648	6968	10048	176	0	0	17840
1	30	2	other	9780	10844	12192	7052	6384	8492	54744
1	30	2	PET	18680	10756	4608	1680	2484	1368	39576
1	30	2	SAB	4916	6032	8292	6620	4448	6860	37168
1	30	1	BOJ	32	4	12	20	0	12	80
1	30	1	EPN	16460	20668	20044	5528	3652	36540	102892
1	30	1	ERS	0	0	0	0	0	0	0
1	30	1	NonFor	2544	16124	22748	944	0	124	42484
1	30	1	other	2792	4296	4212	1324	1004	2668	16296
1	30	1	PET	13800	7172	784	180	232	536	22704
1	30	1	SAB	3480	3656	4172	1580	1164	10480	24532
1	35	3	BOJ	136	324	296	296	332	2668	4052
1	35	3	EPN	124	112	272	112	112	276	1008
1	35	3	ERS	1440	1456	2232	1904	3628	16404	27064
1	35	3	NonFor	120	1412	5248	512	0	0	7292
1	35	3	other	4464	3828	4044	2720	2632	6232	23920
1	35	3	PET	3620	2844	1616	660	1284	1596	11620
1	35	3	SAB	524	864	1240	1536	1096	1524	6784
1	35	2	BOJ	1356	1284	1140	1620	920	4504	10824
1	35	2	EPN	5620	7224	9692	6088	2768	6632	38024
1	35	2	ERS	1940	1100	1172	1296	1624	5264	12396
1	35	2	NonFor	728	3960	11784	1368	0	0	17840
1	35	2	other	9972	10176	12488	7384	5032	9280	54332
1	35	2	PET	19024	13468	4516	1808	1756	1760	42332
1	35	2	SAB	5008	5272	8008	6628	3756	7560	36232
1	35	1	BOJ	36	16	0	20	8	12	92
1	35	1	EPN	13520	19664	21488	7980	2484	33848	98984
1	35	1	ERS	0	0	0	0	0	0	0
1	35	1	NonFor	1904	9304	27284	3868	0	124	42484
1	35	1	other	2664	3784	4852	1612	756	2872	16540
1	35	1	PET	13816	9816	792	296	196	596	25512
1	35	1	SAB	3284	3788	4052	2324	944	10984	25376
1	40	3	BOJ	100	252	360	276	188	2272	3448
1	40	3	EPN	136	64	244	140	88	280	952
1	40	3	ERS	1512	1312	2276	2212	1916	18532	27760
1	40	3	NonFor	156	80	5652	1404	0	0	7292
1	40	3	other	4576	3940	3996	2752	1960	6900	24124
1	40	3	PET	3712	3340	1476	632	744	2016	11920
1	40	3	SAB	468	680	952	1440	1072	1632	6244
1	40	2	BOJ	1152	1476	1244	1532	984	4132	10520
1	40	2	EPN	5092	6256	8904	6504	2448	6272	35476
1	40	2	ERS	2148	1328	1300	1280	1428	6308	13792
1	40	2	NonFor	784	800	12812	3444	0	0	17840
1	40	2	other	9980	9680	12396	7940	4148	9756	53900
1	40	2	PET	19560	16380	4272	1924	1184	2096	45416
1	40	2	SAB	5004	4536	7468	6800	3256	7972	35036
1	40	1	BOJ	40	16	4	20	16	16	112
1	40	1	EPN	11964	18140	21536	10908	1792	30476	94816
1	40	1	ERS	0	0	0	0	0	0	0
1	40	1	NonFor	2512	2256	28828	8764	0	124	42484
1	40	1	other	2468	3276	5360	2120	620	2992	16836
1	40	1	PET	12696	13664	720	428	128	640	28276
1	40	1	SAB	3304	3696	3916	3296	920	11332	26464
1	45	3	BOJ	76	188	380	264	236	2016	3160
1	45	3	EPN	140	76	180	172	84	256	908
1	45	3	ERS	1556	1192	2088	2516	1728	18968	28048
1	45	3	NonFor	152	56	4200	2884	0	0	7292
1	45	3	other	4612	4008	3956	3040	1748	6916	24280
1	45	3	PET	3596	3204	1936	588	620	2216	12160
1	45	3	SAB	420	684	916	1216	972	1684	5892
1	45	2	BOJ	960	1388	1240	1488	1248	3776	10100
1	45	2	EPN	4852	6156	7628	6560	2584	5708	33488
1	45	2	ERS	2392	1376	1464	1460	1372	6696	14760
1	45	2	NonFor	832	932	9504	6544	28	0	17840
1	45	2	other	10600	9596	11284	8420	4012	9668	53580
1	45	2	PET	19944	16744	6780	1956	1096	2164	48684
1	45	2	SAB	4916	4496	6804	6464	3120	7728	33528
1	45	1	BOJ	32	24	12	24	20	20	132
1	45	1	EPN	11300	17208	19908	13368	2304	26588	90676
1	45	1	ERS	0	0	0	0	0	0	0
1	45	1	NonFor	2556	2368	21932	15296	212	120	42484
1	45	1	other	2792	3288	4556	3092	716	2952	17396
1	45	1	PET	13508	13592	3140	500	144	576	31460
1	45	1	SAB	3512	3640	3840	3780	808	11260	26840
1	50	3	BOJ	44	176	352	284	284	1988	3128
1	50	3	EPN	104	112	132	180	68	236	832
1	50	3	ERS	1476	1316	1900	2624	1796	19324	28436
1	50	3	NonFor	116	100	2796	4280	0	0	7292
1	50	3	other	4588	4168	4104	3172	1572	6696	24300
1	50	3	PET	3324	3456	2404	520	492	2188	12384
1	50	3	SAB	272	696	824	1004	924	1648	5368
1	50	2	BOJ	684	1416	1220	1472	1484	3840	10116
1	50	2	EPN	5108	4784	7380	6280	2692	5060	31304
1	50	2	ERS	2316	1580	1760	1644	1364	7016	15680
1	50	2	NonFor	828	604	6604	9636	168	0	17840
1	50	2	other	11196	9180	10804	8760	4004	9504	53448
1	50	2	PET	21020	16016	10064	2000	984	2080	52164
1	50	2	SAB	4568	4328	5924	6160	3120	7328	31428
1	50	1	BOJ	24	32	12	28	20	24	140
