run	time	FRZone	spp	Area
1	40	ZA	other	0.169
1	40	ZB	other	0.229
1	40	ZC	other	0.201
1	40	ZD	other	0.351
1	40	ZA	PET	0.197
1	40	ZB	PET	0.225
1	40	ZC	PET	0.175
1	40	ZD	PET	0.155
1	40	ZA	SAB	0.103
1	40	ZB	SAB	0.149
1	40	ZC	SAB	0.237
1	40	ZD	SAB	0.088
1	45	ZA	BOJ	0.004
1	45	ZB	BOJ	0.046
1	45	ZC	BOJ	0.041
1	45	ZD	BOJ	0.018
1	45	ZA	EPN	0.503
1	45	ZB	EPN	0.279
1	45	ZC	EPN	0.194
1	45	ZD	EPN	0.016
1	45	ZA	ERS	0.001
1	45	ZB	ERS	0.058
1	45	ZC	ERS	0.144
1	45	ZD	ERS	0.372
1	45	ZA	other	0.173
1	45	ZB	other	0.228
1	45	ZC	other	0.202
1	45	ZD	other	0.353
1	45	ZA	PET	0.216
1	45	ZB	PET	0.242
1	45	ZC	PET	0.189
1	45	ZD	PET	0.159
1	45	ZA	SAB	0.104
1	45	ZB	SAB	0.146
1	45	ZC	SAB	0.23
1	45	ZD	SAB	0.082
1	50	ZA	BOJ	0.004
1	50	ZB	BOJ	0.046
1	50	ZC	BOJ	0.041
1	50	ZD	BOJ	0.018
1	50	ZA	EPN	0.479
1	50	ZB	EPN	0.263
1	50	ZC	EPN	0.187
1	50	ZD	EPN	0.014
1	50	ZA	ERS	0.001
1	50	ZB	ERS	0.061
1	50	ZC	ERS	0.149
1	50	ZD	ERS	0.377
1	50	ZA	other	0.175
1	50	ZB	other	0.229
1	50	ZC	other	0.202
1	50	ZD	other	0.354
1	50	ZA	PET	0.235
1	50	ZB	PET	0.263
1	50	ZC	PET	0.202
1	50	ZD	PET	0.163
1	50	ZA	SAB	0.107
1	50	ZB	SAB	0.138
1	50	ZC	SAB	0.219
1	50	ZD	SAB	0.074
1	55	ZA	BOJ	0.004
1	55	ZB	BOJ	0.045
1	55	ZC	BOJ	0.04
1	55	ZD	BOJ	0.017
1	55	ZA	EPN	0.458
1	55	ZB	EPN	0.25
1	55	ZC	EPN	0.178
1	55	ZD	EPN	0.014
1	55	ZA	ERS	0.001
1	55	ZB	ERS	0.067
1	55	ZC	ERS	0.155
1	55	ZD	ERS	0.382
1	55	ZA	other	0.175
1	55	ZB	other	0.228
1	55	ZC	other	0.203
1	55	ZD	other	0.356
1	55	ZA	PET	0.254
1	55	ZB	PET	0.277
1	55	ZC	PET	0.216
1	55	ZD	PET	0.163
1	55	ZA	SAB	0.109
1	55	ZB	SAB	0.133
1	55	ZC	SAB	0.208
1	55	ZD	SAB	0.068
1	60	ZA	BOJ	0.004
1	60	ZB	BOJ	0.042
1	60	ZC	BOJ	0.038
1	60	ZD	BOJ	0.016
1	60	ZA	EPN	0.435
1	60	ZB	EPN	0.238
1	60	ZC	EPN	0.169
1	60	ZD	EPN	0.013
1	60	ZA	ERS	0.001
1	60	ZB	ERS	0.072
1	60	ZC	ERS	0.159
1	60	ZD	ERS	0.383
1	60	ZA	other	0.177
1	60	ZB	other	0.23
1	60	ZC	other	0.205
1	60	ZD	other	0.359
1	60	ZA	PET	0.275
1	60	ZB	PET	0.293
1	60	ZC	PET	0.23
1	60	ZD	PET	0.167
1	60	ZA	SAB	0.108
1	60	ZB	SAB	0.125
1	60	ZC	SAB	0.198
1	60	ZD	SAB	0.06
1	65	ZA	BOJ	0.004
1	65	ZB	BOJ	0.04
1	65	ZC	BOJ	0.036
1	65	ZD	BOJ	0.015
1	65	ZA	EPN	0.414
1	65	ZB	EPN	0.225
1	65	ZC	EPN	0.161
1	65	ZD	EPN	0.013
1	65	ZA	ERS	0.002
1	65	ZB	ERS	0.078
1	65	ZC	ERS	0.165
1	65	ZD	ERS	0.387
1	65	ZA	other	0.181
1	65	ZB	other	0.233
1	65	ZC	other	0.209
1	65	ZD	other	0.369
1	65	ZA	PET	0.294
1	65	ZB	PET	0.308
1	65	ZC	PET	0.24
1	65	ZD	PET	0.162
1	65	ZA	SAB	0.105
1	65	ZB	SAB	0.116
1	65	ZC	SAB	0.189
1	65	ZD	SAB	0.054
1	70	ZA	BOJ	0.004
1	70	ZB	BOJ	0.037
1	70	ZC	BOJ	0.034
1	70	ZD	BOJ	0.014
1	70	ZA	EPN	0.394
1	70	ZB	EPN	0.213
1	70	ZC	EPN	0.154
1	70	ZD	EPN	0.013
1	70	ZA	ERS	0.003
1	70	ZB	ERS	0.083
1	70	ZC	ERS	0.172
1	70	ZD	ERS	0.391
1	70	ZA	other	0.193
1	70	ZB	other	0.241
1	70	ZC	other	0.215
1	70	ZD	other	0.377
1	70	ZA	PET	0.309
1	70	ZB	PET	0.319
1	70	ZC	PET	0.244
1	70	ZD	PET	0.156
1	70	ZA	SAB	0.097
1	70	ZB	SAB	0.106
1	70	ZC	SAB	0.18
1	70	ZD	SAB	0.05
1	75	ZA	BOJ	0.003
1	75	ZB	BOJ	0.035
1	75	ZC	BOJ	0.032
1	75	ZD	BOJ	0.013
1	75	ZA	EPN	0.376
1	75	ZB	EPN	0.204
1	75	ZC	EPN	0.148
1	75	ZD	EPN	0.012
1	75	ZA	ERS	0.004
1	75	ZB	ERS	0.09
1	75	ZC	ERS	0.177
1	75	ZD	ERS	0.397
1	75	ZA	other	0.205
1	75	ZB	other	0.248
1	75	ZC	other	0.223
1	75	ZD	other	0.384
1	75	ZA	PET	0.319
1	75	ZB	PET	0.323
1	75	ZC	PET	0.248
1	75	ZD	PET	0.149
1	75	ZA	SAB	0.093
1	75	ZB	SAB	0.1
1	75	ZC	SAB	0.173
1	75	ZD	SAB	0.045
1	80	ZA	BOJ	0.003
1	80	ZB	BOJ	0.033
1	80	ZC	BOJ	0.03
1	80	ZD	BOJ	0.013
1	80	ZA	EPN	0.36
1	80	ZB	EPN	0.193
1	80	ZC	EPN	0.143
1	80	ZD	EPN	0.012
1	80	ZA	ERS	0.004
1	80	ZB	ERS	0.095
1	80	ZC	ERS	0.184
1	80	ZD	ERS	0.403
1	80	ZA	other	0.216
1	80	ZB	other	0.258
1	80	ZC	other	0.231
1	80	ZD	other	0.391
1	80	ZA	PET	0.33
1	80	ZB	PET	0.329
1	80	ZC	PET	0.246
1	80	ZD	PET	0.141
1	80	ZA	SAB	0.087
1	80	ZB	SAB	0.092
1	80	ZC	SAB	0.165
1	80	ZD	SAB	0.04
1	85	ZA	BOJ	0.003
1	85	ZB	BOJ	0.031
1	85	ZC	BOJ	0.029
1	85	ZD	BOJ	0.012
1	85	ZA	EPN	0.346
1	85	ZB	EPN	0.184
1	85	ZC	EPN	0.138
1	85	ZD	EPN	0.012
1	85	ZA	ERS	0.005
1	85	ZB	ERS	0.101
1	85	ZC	ERS	0.19
1	85	ZD	ERS	0.409
1	85	ZA	other	0.228
1	85	ZB	other	0.268
1	85	ZC	other	0.242
1	85	ZD	other	0.398
1	85	ZA	PET	0.339
1	85	ZB	PET	0.331
1	85	ZC	PET	0.243
1	85	ZD	PET	0.133
1	85	ZA	SAB	0.079
1	85	ZB	SAB	0.084
1	85	ZC	SAB	0.157
1	85	ZD	SAB	0.035
1	90	ZA	BOJ	0.002
1	90	ZB	BOJ	0.029
1	90	ZC	BOJ	0.028
1	90	ZD	BOJ	0.012
1	90	ZA	EPN	0.335
1	90	ZB	EPN	0.178
1	90	ZC	EPN	0.136
1	90	ZD	EPN	0.012
1	90	ZA	ERS	0.006
1	90	ZB	ERS	0.107
1	90	ZC	ERS	0.195
1	90	ZD	ERS	0.415
1	90	ZA	other	0.245
1	90	ZB	other	0.283
1	90	ZC	other	0.254
1	90	ZD	other	0.404
1	90	ZA	PET	0.339
1	90	ZB	PET	0.325
1	90	ZC	PET	0.237
1	90	ZD	PET	0.125
1	90	ZA	SAB	0.073
1	90	ZB	SAB	0.078
1	90	ZC	SAB	0.15
1	90	ZD	SAB	0.032
