frz	GCM	RCP	SEP0	SEP1	SEP2	rSEP1	rSEP2
Z1	GCM4_ESM2_10km	rcp26	34.5137522	38.23947707	39.38697659	1.107966015	1.141348529
Z2	GCM4_ESM2_10km	rcp26	29.11247073	32.32938293	33.21120244	1.110542029	1.140642579
Z3	GCM4_ESM2_10km	rcp26	30.15928333	33.22707481	34.11508217	1.10121328	1.130863726
Z4	GCM4_ESM2_10km	rcp26	35.24545946	39.86930077	39.74511815	1.130186551	1.126935812
Z5	GCM4_ESM2_10km	rcp26	29.57579801	33.02247761	33.61245821	1.115312078	1.135581352
Z6	GCM4_ESM2_10km	rcp26	29.77707835	32.95377938	33.89105773	1.105837414	1.137953063
Z1	GCM4_ESM2_10km	rcp45	34.5343278	45.76106683	48.50693805	1.3252581	1.404358728
Z2	GCM4_ESM2_10km	rcp45	28.71743171	38.26533902	40.02047073	1.332363569	1.393302227
Z3	GCM4_ESM2_10km	rcp45	29.6744876	39.09040078	40.84446357	1.317753021	1.376356047
Z4	GCM4_ESM2_10km	rcp45	35.28687375	44.7512	47.71099614	1.269610417	1.353277115
Z5	GCM4_ESM2_10km	rcp45	28.91275124	36.59639204	39.08889303	1.26446373	1.351417114
Z6	GCM4_ESM2_10km	rcp45	28.99173196	37.99910722	40.0464232	1.311602442	1.381697044
Z1	GCM4_ESM2_10km	rcp85	35.68611659	43.8571561	54.86381756	1.228899449	1.537633887
Z2	GCM4_ESM2_10km	rcp85	29.80620488	36.54415366	46.29391707	1.225910022	1.553148979
Z3	GCM4_ESM2_10km	rcp85	30.81779884	37.24654922	47.63857248	1.208935827	1.54711874
Z4	GCM4_ESM2_10km	rcp85	36.57221236	42.88162548	53.74432355	1.17287181	1.469164467
Z5	GCM4_ESM2_10km	rcp85	30.07011393	36.24097164	46.7391607	1.206851852	1.557202281
Z6	GCM4_ESM2_10km	rcp85	30.20375567	36.8249268	47.89949433	1.219495697	1.587701392
Z1	HadGEM2_ES_10km	rcp26	36.06233463	37.28944	33.91954439	1.03512244	0.941901471
Z2	HadGEM2_ES_10km	rcp26	30.52069268	32.98112683	30.30026098	1.080856237	0.993038415
Z3	HadGEM2_ES_10km	rcp26	31.30329496	34.13748217	31.38526085	1.091327656	1.003875938
Z4	HadGEM2_ES_10km	rcp26	35.60938958	37.56055483	34.88409073	1.055294971	0.979702274
Z5	HadGEM2_ES_10km	rcp26	29.2120403	32.57166169	30.92982736	1.118864693	1.063662684
Z6	HadGEM2_ES_10km	rcp26	30.13110773	33.37628866	31.22440722	1.108811218	1.037753694
Z1	HadGEM2_ES_10km	rcp45	35.20238341	37.32916585	40.49360488	1.060948873	1.150985654
Z2	HadGEM2_ES_10km	rcp45	29.89237561	32.54287073	35.35242195	1.088797332	1.182676287
Z3	HadGEM2_ES_10km	rcp45	30.87005504	33.32180736	35.64780775	1.080309934	1.156207154
Z4	HadGEM2_ES_10km	rcp45	34.97328996	37.63750502	40.14699768	1.076592281	1.148387165
Z5	HadGEM2_ES_10km	rcp45	29.25301791	32.07020597	33.56786915	1.100352246	1.151918927
