lower	upper	frz	p
4	50	Z1	0.331791908
50	100	Z1	0.264739884
100	150	Z1	0.141040462
150	200	Z1	0.079768786
200	250	Z1	0.041618497
250	300	Z1	0.040462428
300	350	Z1	0.025433526
350	400	Z1	0.027745665
400	450	Z1	0.026589595
450	500	Z1	0.01734104
4	50	Z2	0.331791908
50	100	Z2	0.264739884
100	150	Z2	0.141040462
150	200	Z2	0.079768786
200	250	Z2	0.041618497
250	300	Z2	0.040462428
300	350	Z2	0.025433526
350	400	Z2	0.027745665
400	450	Z2	0.026589595
450	500	Z2	0.01734104
25	50	Z3	0.324855491
50	100	Z3	0.257803468
100	150	Z3	0.134104046
150	200	Z3	0.07283237
200	250	Z3	0.034682081
250	300	Z3	0.033526012
300	350	Z3	0.01849711
350	400	Z3	0.020809249
400	450	Z3	0.019653179
450	500	Z3	0.010404624
500	550	Z3	0.008092486
550	600	Z3	0.006936416
600	650	Z3	0.003468208
650	700	Z3	0.002312139
700	750	Z3	0.005780347
750	800	Z3	0.004624277
800	850	Z3	0.003468208
850	900	Z3	0.005780347
900	950	Z3	0.001156069
950	1000	Z3	0.005780347
1000	1050	Z3	0.001156069
1050	1100	Z3	0.003468208
1150	1200	Z3	0.002312139
1200	1250	Z3	0.002312139
1250	1300	Z3	0.001156069
1300	1350	Z3	0.002312139
1400	1450	Z3	0.003468208
1500	1550	Z3	0.003468208
1800	1850	Z3	0.002312139
1950	2000	Z3	0.003468208
25	50	Z4	0.324855491
50	100	Z4	0.257803468
100	150	Z4	0.134104046
150	200	Z4	0.07283237
200	250	Z4	0.034682081
250	300	Z4	0.033526012
300	350	Z4	0.01849711
350	400	Z4	0.020809249
400	450	Z4	0.019653179
450	500	Z4	0.010404624
500	550	Z4	0.008092486
550	600	Z4	0.006936416
600	650	Z4	0.003468208
650	700	Z4	0.002312139
700	750	Z4	0.005780347
750	800	Z4	0.004624277
800	850	Z4	0.003468208
850	900	Z4	0.005780347
900	950	Z4	0.001156069
950	1000	Z4	0.005780347
1000	1050	Z4	0.001156069
1050	1100	Z4	0.003468208
1150	1200	Z4	0.002312139
1200	1250	Z4	0.002312139
1250	1300	Z4	0.001156069
1300	1350	Z4	0.002312139
1400	1450	Z4	0.003468208
1500	1550	Z4	0.003468208
1800	1850	Z4	0.002312139
1950	2000	Z4	0.003468208
25	50	Z5	0.324855491
50	100	Z5	0.257803468
100	150	Z5	0.134104046
150	200	Z5	0.07283237
200	250	Z5	0.034682081
250	300	Z5	0.033526012
300	350	Z5	0.01849711
350	400	Z5	0.020809249
400	450	Z5	0.019653179
450	500	Z5	0.010404624
500	550	Z5	0.008092486
550	600	Z5	0.006936416
600	650	Z5	0.003468208
650	700	Z5	0.002312139
700	750	Z5	0.005780347
750	800	Z5	0.004624277
800	850	Z5	0.003468208
850	900	Z5	0.005780347
900	950	Z5	0.001156069
950	1000	Z5	0.005780347
1000	1050	Z5	0.001156069
1050	1100	Z5	0.003468208
1150	1200	Z5	0.002312139
1200	1250	Z5	0.002312139
1250	1300	Z5	0.001156069
1300	1350	Z5	0.002312139
1400	1450	Z5	0.003468208
1500	1550	Z5	0.003468208
1800	1850	Z5	0.002312139
1950	2000	Z5	0.003468208
25	50	Z6	0.324855491
50	100	Z6	0.257803468
100	150	Z6	0.134104046
150	200	Z6	0.07283237
200	250	Z6	0.034682081
250	300	Z6	0.033526012
300	350	Z6	0.01849711
350	400	Z6	0.020809249
400	450	Z6	0.019653179
450	500	Z6	0.010404624
500	550	Z6	0.008092486
550	600	Z6	0.006936416
600	650	Z6	0.003468208
650	700	Z6	0.002312139
700	750	Z6	0.005780347
750	800	Z6	0.004624277
800	850	Z6	0.003468208
850	900	Z6	0.005780347
900	950	Z6	0.001156069
950	1000	Z6	0.005780347
1000	1050	Z6	0.001156069
1050	1100	Z6	0.003468208
1150	1200	Z6	0.002312139
1200	1250	Z6	0.002312139
1250	1300	Z6	0.001156069
1300	1350	Z6	0.002312139
1400	1450	Z6	0.003468208
1500	1550	Z6	0.003468208
1800	1850	Z6	0.002312139
1950	2000	Z6	0.003468208
